ID,Item title,Final URL,Image URL,Item description,Price
87383038,3BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/99JXY4TVHPNXY0REDRS06Q9890/en,https://static.shared.propertyfinder.eg/media/images/listing/99JXY4TVHPNXY0REDRS06Q9890/6410e963-ebd9-4047-9f71-450e425315e3/1312x894.jpg?v=884cd80ab783a51530a2b31f8212a628,See the details of this Apartment for Sale in Al Narges 3.,7500000
87380479,2BR Townhouse for Sale in Ras Al Hekma,https://www.propertyfinder.eg/to/7JX1GB5MA619F2MPTEZ8FGGKPR/en,https://static.shared.propertyfinder.eg/media/images/listing/7JX1GB5MA619F2MPTEZ8FGGKPR/c7b461ae-2c46-4457-b817-4106f76582d9/1312x894.jpg?v=a3a86d5caf6b3fdb09e8d8b2c66ed377,See the details of this Townhouse for Sale in Direction White.,16800000
87379007,3BR Apartment for Sale in New Capital City,https://www.propertyfinder.eg/to/5XC25AEH62BC33XADSVJ85C2P4/en,https://static.shared.propertyfinder.eg/media/images/listing/5XC25AEH62BC33XADSVJ85C2P4/0231c441-bf67-4fb7-bae4-3139e74d0129/1312x894.jpg?v=6c5e72102e24766016f3787348a7c26c,See the details of this Apartment for Sale in Midtown Sky.,3711551
87378975,3BR Apartment for Sale in New Capital City,https://www.propertyfinder.eg/to/DHQ8Q88KAG8FZE833HD3DDTPCM/en,https://static.shared.propertyfinder.eg/media/images/listing/DHQ8Q88KAG8FZE833HD3DDTPCM/b8385111-54ee-4c60-bdfe-ca7a6e7be218/1312x894.jpg?v=963ecb19f526dfc634cf289e83a1a66d,See the details of this Apartment for Sale in Midtown Condo.,6875506
87378971,2BR Apartment for Sale in 6 October City,https://www.propertyfinder.eg/to/HX0M207FQZPW849Z8DRS54N4Q4/en,https://static.shared.propertyfinder.eg/media/images/listing/HX0M207FQZPW849Z8DRS54N4Q4/ad427757-1437-42a0-babd-28ae8e26e0b3/1312x894.jpg?v=f20d7c28d9a11d86740f116ce5cd7ee8,See the details of this Apartment for Sale in Palm Parks   Palm Hills.,7268000
87378936,2BR Apartment for Sale in Sheikh Zayed City,https://www.propertyfinder.eg/to/JWF57QG4JWC898ZRZMEX60N5D0/en,https://static.shared.propertyfinder.eg/media/images/listing/JWF57QG4JWC898ZRZMEX60N5D0/f6f22eae-c621-46d6-990d-5d9464fc4c45/1312x894.jpg?v=41eef4c8d3fc42ed2a5cee8616eaa622,See the details of this Apartment for Sale in Vye Sodic.,14124000
87378888,3BR Apartment for Sale in New Capital City,https://www.propertyfinder.eg/to/88MMG55MCWGRN05BW6J8Y55E9G/en,https://static.shared.propertyfinder.eg/media/images/listing/88MMG55MCWGRN05BW6J8Y55E9G/13f1d84a-cff4-42f3-baa8-21397dcc3726/1312x894.jpg?v=98ad1749b0c2012fa11d1061d15fdf16,See the details of this Apartment for Sale in New Garden City.,12252000
87378880,3BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/E8RPCP257X145HEFX76R632T2M/en,https://static.shared.propertyfinder.eg/media/images/listing/E8RPCP257X145HEFX76R632T2M/87379b49-c19c-4733-a076-28ea9e1338b0/1312x894.jpg?v=c6c410a961b633e7d1ed999c28049cd0,See the details of this Apartment for Sale in El Patio Oro.,9000000
87378862,3BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/V2YBJ0T4QNE7WT6FDVZPNDWEE8/en,https://static.shared.propertyfinder.eg/media/images/listing/V2YBJ0T4QNE7WT6FDVZPNDWEE8/ecb7bf00-8e42-4908-8ab2-0f3698838b4b/1312x894.jpg?v=16093913593e0cc8730446efd9279bc4,See the details of this Apartment for Sale in The Address East.,6593440
87378854,3BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/MBW6ERHHE569XVFA90H12NG62G/en,https://static.shared.propertyfinder.eg/media/images/listing/MBW6ERHHE569XVFA90H12NG62G/dc12d4c4-2091-4f3f-b242-8ebe099c0042/1312x894.jpg?v=9947f747ff4acfde217df4b3ec801f78,See the details of this Apartment for Sale in Stone Residence.,10250000
87378827,3BR Apartment for Sale in New Capital City,https://www.propertyfinder.eg/to/9J4WFF5S6C7P0GPN56PJYQGMRG/en,https://static.shared.propertyfinder.eg/media/images/listing/9J4WFF5S6C7P0GPN56PJYQGMRG/06e735d8-62cf-4ab2-9eb2-6bf0eb1dbe82/1312x894.jpg?v=5e9f2bda9dc6aab7a0b1c3b0cefc9126,See the details of this Apartment for Sale in Midtown Sky.,3583566
87378811,4BR Townhouse for Sale in Sidi Abdel Rahman,https://www.propertyfinder.eg/to/DZ2J9AKG1PT2X4BPGS97HWKBSW/en,https://static.shared.propertyfinder.eg/media/images/listing/DZ2J9AKG1PT2X4BPGS97HWKBSW/cc9d2ef4-ab2a-4199-8bae-a3c22199dbc8/1312x894.jpg?v=120e68825282bdc93f637ca51c79226f,See the details of this Townhouse for Sale in Zoya.,24000000
87378806,4BR Twin House for Sale in Ras Al Hekma,https://www.propertyfinder.eg/to/SPSDCWKEJMTVXDAAD9HHYK9P6G/en,https://static.shared.propertyfinder.eg/media/images/listing/SPSDCWKEJMTVXDAAD9HHYK9P6G/7c9c09e0-3bef-47e3-aac4-ca85de14ac15/1312x894.jpg?v=4818c01e763ef1eff1e621f31248cb88,See the details of this Twin House for Sale in Mountain View.,16500000
87378804,3BR Apartment for Sale in Mostakbal City - Future City,https://www.propertyfinder.eg/to/2ZK4E6CGNQ6TZ15WMXQRQCKM5G/en,https://static.shared.propertyfinder.eg/media/images/listing/2ZK4E6CGNQ6TZ15WMXQRQCKM5G/01bafd95-e929-46e4-857f-8d69f44b11a1/1312x894.jpg?v=3b6108308bbb0e40398905c64d575595,See the details of this Apartment for Sale in Capital Gardens   Palm Hills.,6300000
87378800,2BR Apartment for Sale in Shorouk City,https://www.propertyfinder.eg/to/X523JX6E3JJ2FSXKY0S2FE8EM4/en,https://static.shared.propertyfinder.eg/media/images/listing/X523JX6E3JJ2FSXKY0S2FE8EM4/6d6a6039-89e2-4793-a892-2efd706a369d/1312x894.jpg?v=09456b914e6de3a0d7a70a7a3073377e,See the details of this Apartment for Sale in Aljar.,5028000
87378787,3BR Apartment for Sale in Mostakbal City - Future City,https://www.propertyfinder.eg/to/NV4MEC2YQPZRZ31S4CPWEKW8JC/en,https://static.shared.propertyfinder.eg/media/images/listing/NV4MEC2YQPZRZ31S4CPWEKW8JC/5c5e9fb8-7357-4a17-ac37-d593b8944e1c/1312x894.jpg?v=8c7d8fd7b0a692c0003f507501a57158,See the details of this Apartment for Sale in HAP Town.,7000000
87378781,3BR Apartment for Sale in Shorouk City,https://www.propertyfinder.eg/to/4PJF84P6M1NNKGCMYTJKCB355C/en,https://static.shared.propertyfinder.eg/media/images/listing/4PJF84P6M1NNKGCMYTJKCB355C/536e6b38-9a84-4919-9e46-8527734bb81e/1312x894.jpg?v=2edd925d4d15c9a54e4623a331860788,See the details of this Apartment for Sale in LIVYN.,5180000
87378768,4BR Villa for Sale in Mostakbal City - Future City,https://www.propertyfinder.eg/to/XRH1DHAR85KY3Y1X66D9WRTTVM/en,https://static.shared.propertyfinder.eg/media/images/listing/XRH1DHAR85KY3Y1X66D9WRTTVM/20e153f0-3dc4-4459-baa2-47f84d7c72ae/1312x894.jpg?v=864aea36ec04e41d36553b2703f00ee5,See the details of this Villa for Sale in Elm Tree Park.,9250000
87378762,4BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/6ZZKDY0PRDHEFHFWWKQJT7KJ8R/en,https://static.shared.propertyfinder.eg/media/images/listing/6ZZKDY0PRDHEFHFWWKQJT7KJ8R/c2400e64-7480-494a-9163-c6c67aee6158/1312x894.jpg?v=f4ecea6aa04a02b1f29ec0c1c6421652,See the details of this Apartment for Sale in Bait Alwatan.,6700000
87378758,3BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/BG670ZHB41ZB8VCPC034AVS2WM/en,https://static.shared.propertyfinder.eg/media/images/listing/BG670ZHB41ZB8VCPC034AVS2WM/850fe236-e997-4234-b2c1-25a83b52e1b4/1312x894.jpg?v=2fdda4312747fed346bbef6c2b32f1d9,See the details of this Apartment for Sale in New Lotus.,6624000
87378753,2BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/3ARBDCR26KJMEH2YH1RPHCN8E4/en,https://static.shared.propertyfinder.eg/media/images/listing/3ARBDCR26KJMEH2YH1RPHCN8E4/369283f3-a5ee-4e26-9434-353a7c36b111/1312x894.jpg?v=1008fb9e1d5f585a6422646b5573647b,See the details of this Apartment for Sale in Taj City.,10004763
87378733,3BR Chalet for Sale in Ras Al Hekma,https://www.propertyfinder.eg/to/VAMV54ZEFKPPH0N6F72X5HMBQM/en,https://static.shared.propertyfinder.eg/media/images/listing/VAMV54ZEFKPPH0N6F72X5HMBQM/98527854-bd18-4466-9dad-f8d2c7e68150/1312x894.jpg?v=715d43481156a796497503026925d7d9,See the details of this Chalet for Sale in Mountain View.,13500000
87378725,2BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/R0K0B1NQTTEEHW3YYTJ7JFKWZ4/en,https://static.shared.propertyfinder.eg/media/images/listing/R0K0B1NQTTEEHW3YYTJ7JFKWZ4/82c63d7c-6c6f-44b8-9629-6083ab4067a0/1312x894.jpg?v=9fa73e465e7c565f05b83d59b46bb1a0,See the details of this Apartment for Sale in Village Gardens Katameya.,8550000
87378721,3BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/AP69T0GMC2SDQRPXRZ7CTNB0C8/en,https://static.shared.propertyfinder.eg/media/images/listing/AP69T0GMC2SDQRPXRZ7CTNB0C8/2959959c-853c-4a0e-b389-d3631bf89eab/1312x894.jpg?v=bed511d384f614f14d42b1c54535e03b,See the details of this Apartment for Sale in Shalya Taj City.,14000000
87378707,3BR Apartment for Sale in Sheikh Zayed City,https://www.propertyfinder.eg/to/22KRQJRSXX9TZWMTRECP888SG0/en,https://static.shared.propertyfinder.eg/media/images/listing/22KRQJRSXX9TZWMTRECP888SG0/a75b0adc-3e84-44b4-8861-f947b9c3ce8b/1312x894.jpg?v=1e4daf53ac45100f8a1c2a161ed6a080,See the details of this Apartment for Sale in Six West.,2600000
87378666,3BR Apartment for Sale in 6 October City,https://www.propertyfinder.eg/to/DDCG2NVTRVVKYFC0YP7EEHAKH4/en,https://static.shared.propertyfinder.eg/media/images/listing/DDCG2NVTRVVKYFC0YP7EEHAKH4/b35440ea-31d6-45ef-8695-378f872a1fd8/1312x894.jpg?v=790a8d5fabccf31d7e6f48990275c296,See the details of this Apartment for Sale in Grand Heights.,2200000
87378581,4BR Duplex for Sale in Sheikh Zayed City,https://www.propertyfinder.eg/to/ER8TWFZX2EP94EX4H2V6CFT1AM/en,https://static.shared.propertyfinder.eg/media/images/listing/ER8TWFZX2EP94EX4H2V6CFT1AM/a16ffb3f-373b-4e3b-ba6e-4fd5e2438105/1312x894.jpg?v=cf6019a94424b47cade0840a1fca5640,See the details of this Duplex for Sale in Ivoire.,2000000
87378577,4BR Duplex for Sale in New Cairo City,https://www.propertyfinder.eg/to/XAKREM0DH282KDTN8J4G92QP4M/en,https://static.shared.propertyfinder.eg/media/images/listing/XAKREM0DH282KDTN8J4G92QP4M/082952ac-01a5-4716-af63-5e5bbef8a809/1312x894.jpg?v=d03443cfcceb5a218cec38709b6efafd,See the details of this Duplex for Sale in Stone Park.,3000000
87378540,6BR Villa for Sale in 6 October City,https://www.propertyfinder.eg/to/GN33FPJSYKK34X0E6YZAWYA5FC/en,https://static.shared.propertyfinder.eg/media/images/listing/GN33FPJSYKK34X0E6YZAWYA5FC/7d561220-4a07-4002-9ffb-3d2bf8d89ee9/1312x894.jpg?v=21950b9552ec8cc418d37db63ae95725,See the details of this Villa for Sale in Rock Eden.,5000000
87344657,3BR Townhouse for Sale in New Heliopolis,https://www.propertyfinder.eg/to/9CAB2XTR4WK04DC8QEP8N219F0/en,https://static.shared.propertyfinder.eg/media/images/listing/9CAB2XTR4WK04DC8QEP8N219F0/b56d42df-56a6-4666-94f1-3331b69783f2/1312x894.jpg?v=e6b371a514ccbfa94942d25c04b45612,See the details of this Townhouse for Sale in Sodic East.,32000000
87329727,3BR Penthouse for Sale in Ras Al Hekma,https://www.propertyfinder.eg/to/JJXCR1AEP7Z54ZNM7WERKCW9SG/en,https://static.shared.propertyfinder.eg/media/images/listing/JJXCR1AEP7Z54ZNM7WERKCW9SG/80a97294-421c-4180-916f-8f9f9206d1c5/1312x894.jpg?v=8e751bab35e1449ae539d69ee5cb629b,See the details of this Penthouse for Sale in Ramla.,35395000
